LoanProductID,LoanProductCode,LoanProductName,LoanCategory,CustomerSegment
1,MORTGAGE_001,Vay mua nhà gói 1,Mortgage,Affluent
2,MORTGAGE_002,Vay mua nhà gói 2,Mortgage,SME
3,MORTGAGE_003,Vay mua nhà gói 3,Mortgage,Mass
4,MORTGAGE_004,Vay mua nhà gói 4,Mortgage,Mass
5,MORTGAGE_005,Vay mua nhà gói 5,Mortgage,Mass
6,MORTGAGE_006,Vay mua nhà gói 6,Mortgage,Mass
7,MORTGAGE_007,Vay mua nhà gói 7,Mortgage,SME
8,MORTGAGE_008,Vay mua nhà gói 8,Mortgage,SME
9,MORTGAGE_009,Vay mua nhà gói 9,Mortgage,SME
10,MORTGAGE_010,Vay mua nhà gói 10,Mortgage,Mass
11,MORTGAGE_011,Vay mua nhà gói 11,Mortgage,SME
12,MORTGAGE_012,Vay mua nhà gói 12,Mortgage,SME
13,MORTGAGE_013,Vay mua nhà gói 13,Mortgage,Affluent
14,MORTGAGE_014,Vay mua nhà gói 14,Mortgage,Affluent
15,MORTGAGE_015,Vay mua nhà gói 15,Mortgage,Mass
16,MORTGAGE_016,Vay mua nhà gói 16,Mortgage,Mass
17,MORTGAGE_017,Vay mua nhà gói 17,Mortgage,SME
18,MORTGAGE_018,Vay mua nhà gói 18,Mortgage,SME
19,MORTGAGE_019,Vay mua nhà gói 19,Mortgage,Mass
20,MORTGAGE_020,Vay mua nhà gói 20,Mortgage,SME
21,MORTGAGE_021,Vay mua nhà gói 21,Mortgage,Affluent
22,MORTGAGE_022,Vay mua nhà gói 22,Mortgage,Affluent
23,MORTGAGE_023,Vay mua nhà gói 23,Mortgage,SME
24,MORTGAGE_024,Vay mua nhà gói 24,Mortgage,Mass
25,MORTGAGE_025,Vay mua nhà gói 25,Mortgage,Affluent
26,MORTGAGE_026,Vay mua nhà gói 26,Mortgage,Affluent
27,MORTGAGE_027,Vay mua nhà gói 27,Mortgage,SME
28,MORTGAGE_028,Vay mua nhà gói 28,Mortgage,SME
29,MORTGAGE_029,Vay mua nhà gói 29,Mortgage,Mass
30,MORTGAGE_030,Vay mua nhà gói 30,Mortgage,SME
31,MORTGAGE_031,Vay mua nhà gói 31,Mortgage,SME
32,MORTGAGE_032,Vay mua nhà gói 32,Mortgage,Mass
33,MORTGAGE_033,Vay mua nhà gói 33,Mortgage,SME
34,MORTGAGE_034,Vay mua nhà gói 34,Mortgage,Affluent
35,MORTGAGE_035,Vay mua nhà gói 35,Mortgage,Affluent
36,MORTGAGE_036,Vay mua nhà gói 36,Mortgage,SME
37,MORTGAGE_037,Vay mua nhà gói 37,Mortgage,SME
38,MORTGAGE_038,Vay mua nhà gói 38,Mortgage,SME
39,MORTGAGE_039,Vay mua nhà gói 39,Mortgage,Affluent
40,MORTGAGE_040,Vay mua nhà gói 40,Mortgage,SME
41,AUTOLOAN_001,Vay mua ô tô gói 1,AutoLoan,Affluent
42,AUTOLOAN_002,Vay mua ô tô gói 2,AutoLoan,Affluent
43,AUTOLOAN_003,Vay mua ô tô gói 3,AutoLoan,Affluent
44,AUTOLOAN_004,Vay mua ô tô gói 4,AutoLoan,SME
45,AUTOLOAN_005,Vay mua ô tô gói 5,AutoLoan,Mass
46,AUTOLOAN_006,Vay mua ô tô gói 6,AutoLoan,SME
47,AUTOLOAN_007,Vay mua ô tô gói 7,AutoLoan,Mass
48,AUTOLOAN_008,Vay mua ô tô gói 8,AutoLoan,Mass
49,AUTOLOAN_009,Vay mua ô tô gói 9,AutoLoan,Affluent
50,AUTOLOAN_010,Vay mua ô tô gói 10,AutoLoan,Affluent
51,AUTOLOAN_011,Vay mua ô tô gói 11,AutoLoan,Mass
52,AUTOLOAN_012,Vay mua ô tô gói 12,AutoLoan,Affluent
53,AUTOLOAN_013,Vay mua ô tô gói 13,AutoLoan,SME
54,AUTOLOAN_014,Vay mua ô tô gói 14,AutoLoan,Affluent
55,AUTOLOAN_015,Vay mua ô tô gói 15,AutoLoan,Affluent
56,AUTOLOAN_016,Vay mua ô tô gói 16,AutoLoan,Affluent
57,AUTOLOAN_017,Vay mua ô tô gói 17,AutoLoan,Mass
