LeadID,SignupDate,CustomerID,ProductID,Branch,Region,SourceChannel,Campaign,LeadStatus,IsConverted,ConvertedTransactionID
1,2024-03-26,29611,90,HCM1,Central,Email Marketing,SummerSale,New,0,
2,2024-11-27,53791,186,HN1,South,Website SEO,BackToSchool,New,0,
3,2024-09-10,21950,62,HN1,South,Tiktok Ads,FlashSaleWeekend,Cancelled,0,
4,2024-03-30,86240,102,CT1,Central,Google Ads,FlashSaleWeekend,Calling,0,
5,2024-02-24,87403,174,CT1,South,Website SEO,11.11,Cancelled,0,
6,2024-06-20,12745,139,HCM2,South,Google Ads,FlashSaleWeekend,New,0,
7,2024-01-04,65243,8,DN1,North,Facebook Ads,11.11,Calling,0,
8,2024-03-26,13866,97,HCM1,South,Tiktok Ads,BackToSchool,New,0,
9,2024-04-14,42245,117,HCM1,Central,Tiktok Ads,FlashSaleWeekend,Calling,0,
10,2024-07-16,54724,199,CT1,South,Facebook Ads,11.11,NoAnswer,0,
11,2024-11-09,81354,64,CT1,North,Zalo OA,SummerSale,Cancelled,0,
12,2024-03-11,61374,21,HCM2,South,Tiktok Ads,Tet2024,Converted,1,2554.0
13,2024-12-21,40116,115,DN1,South,Zalo OA,FlashSaleWeekend,Converted,1,2113.0
14,2024-03-23,91029,191,HCM2,South,Google Ads,12.12,Cancelled,0,
15,2024-12-08,30447,85,DN1,North,Tiktok Ads,12.12,Converted,1,466.0
16,2024-05-14,40431,192,HCM1,Central,Email Marketing,11.11,Converted,1,2120.0
17,2024-04-23,27908,20,HCM2,Central,Facebook Ads,Tet2024,Calling,0,
18,2024-05-12,39336,8,CT1,North,Zalo OA,12.12,Cancelled,0,
19,2024-10-18,50992,58,HCM2,North,Email Marketing,FlashSaleWeekend,Converted,1,2703.0
20,2024-08-28,65350,46,HCM2,South,Google Ads,Tet2024,Converted,1,19.0
21,2024-11-22,79561,31,HCM1,Central,Google Ads,BackToSchool,Converted,1,2570.0
22,2024-10-03,61955,93,CT1,North,Tiktok Ads,NewProductLaunch,Converted,1,784.0
23,2024-06-23,71240,9,CT1,Central,Tiktok Ads,11.11,New,0,
24,2024-09-16,30093,15,HN1,South,Email Marketing,BackToSchool,Cancelled,0,
25,2024-05-23,16155,94,HN1,North,Website SEO,BackToSchool,Calling,0,
26,2024-10-23,56607,154,HN1,Central,Website SEO,Tet2024,Cancelled,0,
27,2024-01-05,43487,138,HCM1,Central,Tiktok Ads,11.11,Cancelled,0,
28,2024-08-23,65668,29,HCM2,South,Website SEO,BackToSchool,New,0,
29,2024-08-06,30963,80,CT1,North,Facebook Ads,SummerSale,NoAnswer,0,
30,2024-11-23,60124,36,CT1,Central,Email Marketing,BackToSchool,New,0,
31,2024-02-01,62870,84,HCM2,South,Facebook Ads,SummerSale,Cancelled,0,
32,2024-02-11,66547,109,CT1,Central,Website SEO,NewProductLaunch,Cancelled,0,
