ApplicationID,LeadID,CustomerID,ProductID,Branch,Region,ApplicationDate,ApplicationStatus,RequestedAmount
1,1,25795,17,HN1,Central,2024-05-14,Approved,447016754
2,2,10860,39,HN1,Central,2024-07-23,Approved,364783579
5,5,16265,13,CT1,South,2024-04-06,Approved,440425904
7,7,47194,18,HN1,South,2024-11-21,Approved,333688265
8,8,97498,33,HCM2,Central,2024-08-09,Approved,33504888
9,9,54131,6,HCM1,North,2024-03-31,Approved,397957298
10,10,70263,27,HN1,North,2024-03-15,Approved,237584076
12,12,51090,27,CT1,Central,2024-05-09,Processing,104136338
13,13,77221,34,CT1,Central,2024-07-31,Approved,195402577
14,14,74820,46,HCM2,North,2024-12-08,Processing,478609898
15,15,10769,38,HCM2,North,2024-04-06,Approved,297952749
17,17,72955,36,CT1,North,2024-02-24,Approved,123755775
18,18,74925,8,CT1,Central,2024-12-09,Approved,270518330
19,19,77969,35,HCM1,South,2024-02-23,Approved,152969469
20,20,15311,19,DN1,North,2024-08-06,Processing,268178168
21,21,93104,30,DN1,North,2024-01-19,Processing,218558355
22,22,63707,14,HCM1,Central,2024-04-12,Approved,371876236
24,24,38693,49,CT1,North,2024-02-15,Approved,319204609
25,25,81932,25,DN1,North,2024-07-11,Approved,194137852
26,26,35658,40,CT1,Central,2024-03-02,Rejected,466161035
27,27,94478,24,HCM1,South,2024-04-21,Rejected,47806902
29,29,12747,26,HCM1,South,2024-12-05,Approved,211467078
30,30,69150,38,DN1,South,2024-07-14,Approved,193729329
31,31,75725,23,CT1,Central,2024-12-09,Processing,406776570
32,32,94654,22,DN1,North,2024-11-23,Approved,241557377
33,33,45773,48,DN1,North,2024-01-12,Processing,437210595
35,35,66886,46,DN1,South,2024-04-21,Processing,179615525
36,36,76803,3,HCM2,South,2024-06-09,Approved,94017525
37,37,41551,42,CT1,North,2024-05-11,Processing,284133482
38,38,21394,19,CT1,North,2024-07-09,Approved,48414216
39,39,79092,9,HCM2,South,2024-06-15,Approved,468364015
40,40,13890,28,HCM1,Central,2024-07-19,Processing,64469722
42,42,90038,45,HCM1,North,2024-07-26,Rejected,224150730
43,43,97313,7,CT1,South,2024-07-31,Processing,413793112
44,44,20627,14,CT1,Central,2024-04-21,Rejected,496184538
45,45,18792,9,HN1,South,2024-10-04,Processing,319399300
46,46,83969,19,DN1,South,2024-03-14,Processing,420552400
47,47,53001,47,DN1,Central,2024-06-19,Rejected,193430679
48,48,86552,14,HCM1,Central,2024-09-16,Processing,340624769
49,49,33897,38,DN1,Central,2024-09-02,Processing,186384422
50,50,78148,36,HCM1,North,2024-10-03,Processing,349787866
51,51,33483,40,CT1,South,2024-04-11,Processing,21021951
52,52,58555,17,HN1,North,2024-06-24,Approved,56233554
53,53,27159,30,HN1,Central,2024-06-21,Approved,480635860
54,54,90077,9,CT1,North,2024-05-22,Processing,95973426
55,55,45920,33,HCM2,Central,2024-07-08,Approved,107714310
56,56,77121,25,HCM2,Central,2024-03-28,Approved,180733453
57,57,79479,14,DN1,South,2024-02-25,Processing,459243636
58,58,99475,11,HCM1,South,2024-04-23,Processing,374024396
59,59,29457,35,HN1,South,2025-01-02,Approved,481254277
60,60,76557,41,DN1,North,2024-12-11,Rejected,199502138
61,61,87189,14,CT1,South,2024-02-16,Approved,394836214
62,62,88953,30,HN1,Central,2024-08-01,Approved,115110373
64,64,50757,4,HCM1,North,2024-10-26,Approved,165370190
65,65,19692,4,HCM2,South,2024-12-11,Approved,168372695
66,66,55758,28,DN1,South,2024-08-31,Approved,35911114
67,67,82409,8,CT1,South,2024-04-27,Processing,174441311
70,70,47065,46,HN1,Central,2024-03-18,Approved,26607072
71,71,42606,22,CT1,Central,2024-05-19,Processing,446053151
72,72,21534,41,HN1,South,2024-01-22,Processing,275379187
75,75,99789,49,HN1,Central,2024-02-09,Rejected,44708363
76,76,65591,48,HCM2,South,2024-09-26,Approved,319497597
77,77,99812,30,CT1,South,2024-07-29,Approved,114134950
79,79,34300,35,HN1,North,2024-06-02,Rejected,466568084
82,82,19268,21,HN1,Central,2024-10-21,Processing,197474040
83,83,96807,21,HCM2,Central,2024-04-11,Processing,62147703
85,85,73704,48,HN1,South,2024-08-19,Approved,373460438
86,86,96779,20,HN1,South,2024-08-08,Approved,421258717
87,87,49099,37,CT1,South,2024-03-06,Approved,474737809
88,88,18571,3,HCM1,South,2024-12-23,Processing,326124982
90,90,61214,33,CT1,South,2024-11-27,Processing,429297881
91,91,71228,9,CT1,South,2024-02-22,Approved,311687635
92,92,58984,9,DN1,North,2024-09-19,Approved,339460648
93,93,50774,4,CT1,North,2024-09-23,Rejected,309993314
95,95,72592,17,HN1,Central,2024-11-15,Approved,21121710
97,97,12695,24,CT1,North,2024-06-03,Approved,252159884
98,98,58190,32,HN1,South,2024-12-26,Approved,267695657
99,99,15258,1,HCM1,South,2025-01-03,Approved,218480514
100,100,97538,8,HCM1,Central,2024-05-22,Approved,493701494
101,101,49504,45,HN1,North,2024-02-21,Processing,248464756
