ApprovalID,ApplicationID,LeadID,CustomerID,ProductID,Branch,Region,ApprovalDate,ApprovalStatus,ApprovedAmount,CreditLimit
1,1,1,25795,17,HN1,Central,2024-05-18,Approved,95423501,95423501
2,2,2,10860,39,HN1,Central,2024-07-24,Approved,76644441,76644441
5,5,5,16265,13,CT1,South,2024-04-10,Approved,32540306,32540306
7,7,7,47194,18,HN1,South,2024-11-28,Approved,88535504,88535504
8,8,8,97498,33,HCM2,Central,2024-08-08,Approved,349336902,349336902
9,9,9,54131,6,HCM1,North,2024-04-07,Approved,295315796,295315796
10,10,10,70263,27,HN1,North,2024-03-16,Approved,18693691,18693691
13,13,13,77221,34,CT1,Central,2024-08-05,Approved,204708722,204708722
15,15,15,10769,38,HCM2,North,2024-04-08,Approved,45908383,45908383
17,17,17,72955,36,CT1,North,2024-02-28,Approved,373422682,373422682
18,18,18,74925,8,CT1,Central,2024-12-12,Approved,122907596,122907596
19,19,19,77969,35,HCM1,South,2024-02-26,Approved,418296421,418296421
22,22,22,63707,14,HCM1,Central,2024-04-17,Approved,371869038,371869038
24,24,24,38693,49,CT1,North,2024-02-20,Approved,233654367,233654367
25,25,25,81932,25,DN1,North,2024-07-20,Approved,393651378,393651378
29,29,29,12747,26,HCM1,South,2024-12-08,Approved,349224050,349224050
30,30,30,69150,38,DN1,South,2024-07-19,Approved,290988206,290988206
32,32,32,94654,22,DN1,North,2024-11-22,Approved,414748794,414748794
36,36,36,76803,3,HCM2,South,2024-06-18,Approved,398703657,398703657
38,38,38,21394,19,CT1,North,2024-07-09,Approved,139057948,139057948
39,39,39,79092,9,HCM2,South,2024-06-15,Approved,430059451,430059451
52,52,52,58555,17,HN1,North,2024-06-28,Approved,208273147,208273147
53,53,53,27159,30,HN1,Central,2024-06-27,Approved,274891805,274891805
55,55,55,45920,33,HCM2,Central,2024-07-07,Approved,426053312,426053312
56,56,56,77121,25,HCM2,Central,2024-03-27,Approved,54916854,54916854
59,59,59,29457,35,HN1,South,2025-01-03,Approved,274207150,274207150
61,61,61,87189,14,CT1,South,2024-02-16,Approved,245057051,245057051
62,62,62,88953,30,HN1,Central,2024-08-04,Approved,238599463,238599463
64,64,64,50757,4,HCM1,North,2024-10-31,Approved,421763430,421763430
65,65,65,19692,4,HCM2,South,2024-12-18,Approved,247837499,247837499
66,66,66,55758,28,DN1,South,2024-08-31,Approved,16290537,16290537
70,70,70,47065,46,HN1,Central,2024-03-26,Approved,115674033,115674033
76,76,76,65591,48,HCM2,South,2024-10-01,Approved,430510267,430510267
77,77,77,99812,30,CT1,South,2024-07-31,Approved,244930504,244930504
85,85,85,73704,48,HN1,South,2024-08-19,Approved,460235380,460235380
86,86,86,96779,20,HN1,South,2024-08-14,Approved,83811580,83811580
87,87,87,49099,37,CT1,South,2024-03-07,Approved,242459849,242459849
91,91,91,71228,9,CT1,South,2024-02-27,Approved,203640804,203640804
92,92,92,58984,9,DN1,North,2024-09-21,Approved,333212015,333212015
95,95,95,72592,17,HN1,Central,2024-11-17,Approved,115195944,115195944
97,97,97,12695,24,CT1,North,2024-06-08,Approved,177898042,177898042
98,98,98,58190,32,HN1,South,2024-12-27,Approved,294709621,294709621
99,99,99,15258,1,HCM1,South,2025-01-03,Approved,67597918,67597918
100,100,100,97538,8,HCM1,Central,2024-05-22,Approved,48037302,48037302
102,102,102,43159,23,HCM2,Central,2024-05-01,Approved,288519708,288519708
