LoanID,LeadID,CustomerID,ProductID,Branch,Region,DisbursementDate,DisbursementAmount
2,2,10860,39,HN1,Central,2024-07-27,180156542
5,5,16265,13,CT1,South,2024-04-19,71206738
7,7,47194,18,HN1,South,2024-11-21,214439091
8,8,97498,33,HCM2,Central,2024-08-23,56146004
10,10,70263,27,HN1,North,2024-03-27,253367858
15,15,10769,38,HCM2,North,2024-04-19,101237201
22,22,63707,14,HCM1,Central,2024-04-22,265719658
24,24,38693,49,CT1,North,2024-02-25,63332472
30,30,69150,38,DN1,South,2024-07-14,200134127
32,32,94654,22,DN1,North,2024-11-27,35487415
36,36,76803,3,HCM2,South,2024-06-26,11957111
38,38,21394,19,CT1,North,2024-07-11,108815798
39,39,79092,9,HCM2,South,2024-06-16,286017547
53,53,27159,30,HN1,Central,2024-07-04,135662819
59,59,29457,35,HN1,South,2025-01-14,191265502
70,70,47065,46,HN1,Central,2024-03-28,210945398
87,87,49099,37,CT1,South,2024-03-10,124220773
91,91,71228,9,CT1,South,2024-02-22,290176050
98,98,58190,32,HN1,South,2025-01-03,250963499
99,99,15258,1,HCM1,South,2025-01-11,10569038
102,102,43159,23,HCM2,Central,2024-05-02,72860111
113,113,40535,29,HCM2,South,2024-09-24,93922072
116,116,99135,21,HCM2,Central,2024-01-09,176107590
117,117,45222,38,HCM1,North,2025-01-15,38801400
121,121,73335,7,HCM2,Central,2024-08-11,284977258
122,122,20965,28,HCM1,North,2024-10-20,5804069
123,123,34538,28,HCM2,North,2024-02-05,270850333
138,138,97939,23,DN1,South,2024-09-10,15142310
143,143,77214,18,HN1,Central,2024-08-18,255743814
145,145,65820,12,CT1,Central,2024-04-30,188397027
147,147,91734,26,HCM1,Central,2024-07-12,240368867
149,149,32299,8,HN1,North,2024-09-11,203231916
153,153,59080,29,DN1,South,2024-08-05,14983536
156,156,35939,35,HCM2,Central,2024-12-08,83191199
161,161,36105,45,HCM1,South,2024-11-09,198542714
164,164,31976,13,HN1,South,2024-06-27,20324902
170,170,16776,43,HN1,North,2024-08-23,267620848
175,175,15530,21,HCM1,South,2024-07-24,277057514
176,176,13748,49,HCM1,South,2024-11-02,90277899
190,190,75318,39,HN1,Central,2024-02-29,127971424
194,194,95616,19,HCM2,North,2024-09-20,66848013
195,195,36736,11,HCM1,North,2024-01-21,187080684
198,198,17392,45,CT1,North,2024-02-22,284249196
206,206,80467,45,CT1,Central,2024-09-29,99158686
208,208,22688,48,DN1,South,2024-11-03,62233936
212,212,62083,39,HN1,South,2024-09-25,76716605
215,215,44698,8,CT1,North,2024-12-25,271039958
217,217,32671,27,DN1,Central,2024-04-13,276709529
219,219,52107,23,DN1,Central,2024-03-24,81094603
230,230,77270,4,DN1,North,2024-09-24,33231793
238,238,47504,28,HCM1,South,2024-11-30,75694394
249,249,56843,41,HCM1,North,2024-10-17,130379250
251,251,87371,2,HN1,North,2024-05-28,224075196
252,252,12049,11,CT1,North,2024-06-29,107246200
256,256,71434,18,CT1,North,2025-01-11,171664189
260,260,52642,3,HN1,South,2024-08-01,226426486
262,262,61407,6,HN1,Central,2024-04-18,203770587
269,269,22874,30,DN1,Central,2024-04-09,121653925
271,271,15539,2,HCM1,Central,2024-09-22,31857192
273,273,71267,41,HN1,Central,2024-12-18,88228306
275,275,12557,35,DN1,South,2024-08-22,64249581
276,276,48360,43,CT1,South,2024-08-09,110180270
281,281,31357,37,DN1,South,2024-08-07,56525989
