LeadID,CustomerID,ProductID,SignupDate,Branch,Region,LeadStatus
1,25795,17,2024-05-12,HN1,Central,Approved
2,10860,39,2024-07-19,HN1,Central,Disbursed
3,86820,9,2024-10-11,HCM1,Central,New
4,64886,35,2024-11-21,DN1,North,New
5,16265,13,2024-04-04,CT1,South,Disbursed
6,92386,15,2024-10-04,HN1,Central,New
7,47194,18,2024-11-20,HN1,South,Disbursed
8,97498,33,2024-08-06,HCM2,Central,Disbursed
9,54131,6,2024-03-29,HCM1,North,Approved
10,70263,27,2024-03-12,HN1,North,Disbursed
11,26023,23,2024-09-03,HN1,Central,New
12,51090,27,2024-05-08,CT1,Central,Processing
13,77221,34,2024-07-30,CT1,Central,Approved
14,74820,46,2024-12-08,HCM2,North,Processing
15,10769,38,2024-04-05,HCM2,North,Disbursed
16,69735,14,2024-03-15,HCM2,South,New
17,72955,36,2024-02-23,CT1,North,Approved
18,74925,8,2024-12-09,CT1,Central,Approved
19,77969,35,2024-02-23,HCM1,South,Approved
20,15311,19,2024-08-05,DN1,North,Processing
21,93104,30,2024-01-16,DN1,North,Processing
22,63707,14,2024-04-08,HCM1,Central,Disbursed
23,95305,20,2024-01-20,DN1,South,New
24,38693,49,2024-02-15,CT1,North,Disbursed
25,81932,25,2024-07-11,DN1,North,Approved
26,35658,40,2024-02-27,CT1,Central,Rejected
27,94478,24,2024-04-20,HCM1,South,Rejected
28,28431,14,2024-05-08,HCM2,South,New
29,12747,26,2024-12-02,HCM1,South,Approved
30,69150,38,2024-07-12,DN1,South,Disbursed
31,75725,23,2024-12-05,CT1,Central,Processing
32,94654,22,2024-11-21,DN1,North,Disbursed
33,45773,48,2024-01-08,DN1,North,Processing
34,77435,19,2024-01-29,HCM2,South,New
35,66886,46,2024-04-21,DN1,South,Processing
36,76803,3,2024-06-09,HCM2,South,Disbursed
37,41551,42,2024-05-10,CT1,North,Processing
38,21394,19,2024-07-06,CT1,North,Disbursed
39,79092,9,2024-06-11,HCM2,South,Disbursed
40,13890,28,2024-07-15,HCM1,Central,Processing
41,51606,20,2024-12-29,CT1,North,New
42,90038,45,2024-07-22,HCM1,North,Rejected
43,97313,7,2024-07-30,CT1,South,Processing
44,20627,14,2024-04-18,CT1,Central,Rejected
45,18792,9,2024-10-02,HN1,South,Processing
46,83969,19,2024-03-13,DN1,South,Processing
47,53001,47,2024-06-15,DN1,Central,Rejected
48,86552,14,2024-09-16,HCM1,Central,Processing
49,33897,38,2024-08-30,DN1,Central,Processing
50,78148,36,2024-10-01,HCM1,North,Processing
51,33483,40,2024-04-11,CT1,South,Processing
52,58555,17,2024-06-21,HN1,North,Approved
53,27159,30,2024-06-19,HN1,Central,Disbursed
54,90077,9,2024-05-20,CT1,North,Processing
55,45920,33,2024-07-06,HCM2,Central,Approved
56,77121,25,2024-03-26,HCM2,Central,Approved
57,79479,14,2024-02-21,DN1,South,Processing
58,99475,11,2024-04-20,HCM1,South,Processing
59,29457,35,2024-12-30,HN1,South,Disbursed
60,76557,41,2024-12-07,DN1,North,Rejected
61,87189,14,2024-02-12,CT1,South,Approved
62,88953,30,2024-07-29,HN1,Central,Approved
63,62995,41,2024-07-18,HCM1,South,New
64,50757,4,2024-10-24,HCM1,North,Approved
65,19692,4,2024-12-11,HCM2,South,Approved
66,55758,28,2024-08-27,DN1,South,Approved
67,82409,8,2024-04-24,CT1,South,Processing
68,81211,2,2024-01-26,HN1,North,New
69,75697,41,2024-10-25,HCM1,Central,New
70,47065,46,2024-03-17,HN1,Central,Disbursed
71,42606,22,2024-05-16,CT1,Central,Processing
72,21534,41,2024-01-20,HN1,South,Processing
73,50397,16,2024-07-29,DN1,South,New
74,11016,29,2024-08-27,HCM2,North,New
75,99789,49,2024-02-08,HN1,Central,Rejected
76,65591,48,2024-09-24,HCM2,South,Approved
77,99812,30,2024-07-25,CT1,South,Approved
78,33247,12,2024-09-23,HCM2,South,New
79,34300,35,2024-06-02,HN1,North,Rejected
80,84065,11,2024-02-11,HN1,Central,New
81,92798,46,2024-01-11,HCM1,North,New
82,19268,21,2024-10-20,HN1,Central,Processing
83,96807,21,2024-04-07,HCM2,Central,Processing
84,22185,5,2024-10-01,HCM1,South,New
85,73704,48,2024-08-17,HN1,South,Approved
86,96779,20,2024-08-07,HN1,South,Approved
87,49099,37,2024-03-05,CT1,South,Disbursed
88,18571,3,2024-12-20,HCM1,South,Processing
89,48044,44,2024-08-19,CT1,Central,New
90,61214,33,2024-11-23,CT1,South,Processing
91,71228,9,2024-02-21,CT1,South,Disbursed
92,58984,9,2024-09-19,DN1,North,Approved
93,50774,4,2024-09-23,CT1,North,Rejected
94,12568,35,2024-12-24,HCM2,Central,New
95,72592,17,2024-11-12,HN1,Central,Approved
96,77563,34,2024-11-19,DN1,North,New
97,12695,24,2024-06-02,CT1,North,Approved
98,58190,32,2024-12-23,HN1,South,Disbursed
99,15258,1,2024-12-31,HCM1,South,Disbursed
100,97538,8,2024-05-19,HCM1,Central,Approved
101,49504,45,2024-02-20,HN1,North,Processing
102,43159,23,2024-04-26,HCM2,Central,Disbursed
103,23986,47,2024-02-15,HN1,South,Approved
104,71858,40,2024-11-04,HN1,Central,New
105,22666,12,2024-03-28,DN1,Central,Processing
106,48660,12,2024-07-26,HCM1,Central,New
107,13561,46,2024-09-25,HCM1,South,Processing
108,36854,47,2024-03-29,CT1,Central,Processing
109,74505,15,2024-04-27,HN1,South,Approved
110,62251,41,2024-02-23,HN1,North,Processing
111,32662,19,2024-04-25,HCM2,Central,New
112,18392,26,2024-04-27,HCM1,Central,Approved
113,40535,29,2024-09-16,HCM2,South,Disbursed
114,88603,22,2024-03-15,DN1,Central,Approved
115,62256,40,2024-10-31,CT1,South,Processing
116,99135,21,2024-01-07,HCM2,Central,Disbursed
117,45222,38,2024-12-31,HCM1,North,Disbursed
118,87373,20,2024-05-01,DN1,North,New
119,89575,29,2024-01-11,HN1,North,New
120,94651,4,2024-12-13,DN1,Central,Rejected
121,73335,7,2024-08-02,HCM2,Central,Disbursed
122,20965,28,2024-10-05,HCM1,North,Disbursed
123,34538,28,2024-01-28,HCM2,North,Disbursed
124,80592,4,2024-08-22,HN1,South,Approved
125,18110,22,2024-11-08,HN1,South,Approved
126,89309,12,2024-01-26,HCM1,North,New
127,37266,45,2024-02-23,CT1,North,New
128,62992,3,2024-01-29,DN1,Central,Processing
129,92948,22,2024-12-18,DN1,North,Approved
130,16910,44,2024-06-12,HN1,South,Approved
131,10206,2,2024-09-26,HCM2,South,Rejected
132,97054,24,2024-11-29,HCM2,South,Processing
133,97897,34,2024-02-04,CT1,South,Approved
134,33419,27,2024-10-12,HCM2,South,New
135,60636,41,2024-12-13,DN1,South,Processing
136,60015,1,2024-09-29,HCM2,North,Rejected
137,64268,8,2024-07-26,CT1,South,Approved
138,97939,23,2024-08-25,DN1,South,Disbursed
139,28141,38,2024-04-02,HCM2,South,Processing
140,90356,6,2024-06-21,DN1,South,Processing
141,81910,22,2024-03-19,HN1,North,Processing
142,66044,25,2024-04-19,HN1,Central,Processing
143,77214,18,2024-08-04,HN1,Central,Disbursed
144,43827,17,2024-12-23,HCM2,Central,Approved
145,65820,12,2024-04-15,CT1,Central,Disbursed
146,72623,6,2024-02-16,DN1,South,New
147,91734,26,2024-06-29,HCM1,Central,Disbursed
148,85450,27,2024-03-04,HN1,Central,New
149,32299,8,2024-09-02,HN1,North,Disbursed
150,53585,19,2024-08-31,HCM1,North,Processing
151,74044,42,2024-11-15,HCM1,North,Processing
152,52557,1,2024-03-27,HCM2,South,Approved
153,59080,29,2024-08-04,DN1,South,Disbursed
154,12693,45,2024-01-07,HN1,South,New
155,79163,49,2024-10-04,CT1,North,Processing
156,35939,35,2024-12-02,HCM2,Central,Disbursed
157,58925,40,2024-07-28,HCM2,North,Processing
158,52941,14,2024-06-17,CT1,South,New
159,31834,35,2024-11-25,CT1,North,Processing
160,28047,48,2024-05-17,CT1,Central,Processing
161,36105,45,2024-11-01,HCM1,South,Disbursed
162,85766,20,2024-08-17,HN1,Central,Rejected
163,25707,49,2024-11-03,HCM1,Central,Approved
164,31976,13,2024-06-09,HN1,South,Disbursed
165,54262,38,2024-01-01,HCM1,Central,Processing
166,33776,49,2024-08-23,DN1,North,New
167,40080,46,2024-07-06,HN1,Central,Processing
168,76842,49,2024-01-04,HCM2,Central,Processing
169,71373,8,2024-05-11,HN1,Central,New
170,16776,43,2024-08-05,HN1,North,Disbursed
171,65016,20,2024-09-16,HN1,Central,Rejected
172,19474,33,2024-01-01,DN1,Central,Processing
173,68053,26,2024-03-11,HCM1,North,Approved
174,31959,39,2024-06-26,HCM2,South,Rejected
175,15530,21,2024-07-07,HCM1,South,Disbursed
176,13748,49,2024-10-17,HCM1,South,Disbursed
177,23545,42,2024-01-08,CT1,Central,Approved
178,76199,43,2024-09-09,DN1,South,Rejected
179,44766,41,2024-10-18,CT1,North,Approved
180,83530,9,2024-08-31,DN1,Central,Approved
181,71087,24,2024-05-02,HCM1,Central,New
182,78840,37,2024-10-25,HCM1,Central,New
183,64384,49,2024-10-09,DN1,South,Approved
184,61005,41,2024-02-01,HCM1,South,Processing
185,56576,17,2024-11-29,HCM1,South,New
186,49353,24,2024-05-25,HCM2,Central,Rejected
187,72003,21,2024-06-04,CT1,North,New
188,93211,39,2024-01-16,CT1,Central,Approved
189,62733,41,2024-12-20,CT1,North,Approved
190,75318,39,2024-02-16,HN1,Central,Disbursed
191,99474,13,2024-09-07,HCM2,North,Processing
192,33664,11,2024-07-05,CT1,Central,New
193,77172,46,2024-01-31,CT1,Central,Approved
194,95616,19,2024-09-16,HCM2,North,Disbursed
195,36736,11,2024-01-17,HCM1,North,Disbursed
196,10854,13,2024-02-08,CT1,North,Processing
197,48623,46,2024-10-30,HCM1,North,Processing
198,17392,45,2024-02-08,CT1,North,Disbursed
199,65680,1,2024-05-11,DN1,North,New
200,56717,40,2024-01-30,HN1,North,Approved
201,97092,44,2024-06-06,CT1,North,Processing
202,60859,19,2024-10-04,DN1,Central,New
203,36309,12,2024-07-21,HCM2,North,Processing
204,97455,8,2024-03-06,DN1,North,Processing
205,73734,8,2024-04-17,HCM2,Central,Approved
206,80467,45,2024-09-24,CT1,Central,Disbursed
207,62662,12,2024-08-09,HCM2,South,Processing
208,22688,48,2024-10-18,DN1,South,Disbursed
209,35342,33,2024-01-18,HN1,North,New
210,47157,45,2024-03-30,HCM1,North,Approved
211,77863,26,2024-06-29,HCM1,South,New
212,62083,39,2024-09-11,HN1,South,Disbursed
213,75733,28,2024-09-09,HCM1,North,Rejected
214,99045,5,2024-09-13,CT1,South,Approved
215,44698,8,2024-12-11,CT1,North,Disbursed
216,90623,25,2024-03-27,DN1,Central,Approved
217,32671,27,2024-03-30,DN1,Central,Disbursed
218,35184,46,2024-08-24,HCM2,South,Rejected
219,52107,23,2024-03-10,DN1,Central,Disbursed
220,96202,30,2024-02-13,CT1,Central,Approved
221,61663,45,2024-07-18,DN1,Central,New
222,25708,47,2024-05-31,HCM1,Central,Approved
223,59811,23,2024-03-26,HCM2,North,New
224,12811,49,2024-01-19,HCM2,North,Approved
225,66250,47,2024-04-10,CT1,South,Processing
226,82082,20,2024-04-04,DN1,Central,Approved
227,44754,18,2024-09-10,HCM1,Central,New
228,21411,18,2024-12-22,DN1,Central,New
229,12911,2,2024-01-30,HN1,South,Processing
230,77270,4,2024-09-05,DN1,North,Disbursed
231,93763,30,2024-02-02,CT1,Central,Processing
232,18680,33,2024-08-16,DN1,North,Processing
233,94896,36,2024-01-12,HCM2,South,Rejected
234,93879,18,2024-04-27,HCM1,North,Approved
235,81295,37,2024-12-15,CT1,Central,Processing
236,98614,19,2024-06-03,HN1,North,Processing
237,21111,47,2024-09-02,HCM1,North,New
238,47504,28,2024-11-27,HCM1,South,Disbursed
239,11802,40,2024-09-03,HCM2,South,New
