RepaymentID,LoanID,CustomerID,ScheduleDate,ActualPaymentDate,PrincipalAmount,InterestAmount,PaymentStatus,DaysPastDue
RP_2_1,2,10860,8/25/2024,8/25/2024,15013045,1801565,On-time,0
RP_2_2,2,10860,9/25/2024,9/25/2024,15013045,1801565,On-time,0
RP_2_3,2,10860,10/25/2024,10/25/2024,15013045,1801565,On-time,0
RP_2_4,2,10860,11/25/2024,11/25/2024,15013045,1801565,On-time,0
RP_2_5,2,10860,12/25/2024,12/28/2024,15013045,1801565,Late,3
RP_2_6,2,10860,1/25/2025,1/25/2025,15013045,1801565,On-time,0
RP_2_7,2,10860,2/25/2025,2/25/2025,15013045,1801565,On-time,0
RP_2_8,2,10860,3/25/2025,,15013045,1801565,Due,
RP_2_9,2,10860,4/25/2025,,15013045,1801565,Due,
RP_2_10,2,10860,5/25/2025,,15013045,1801565,Due,
RP_2_11,2,10860,6/25/2025,,15013045,1801565,Due,
RP_2_12,2,10860,7/25/2025,,15013045,1801565,Due,
RP_5_1,5,16265,5/25/2024,5/25/2024,5933895,712067,On-time,0
RP_5_2,5,16265,6/25/2024,6/25/2024,5933895,712067,On-time,0
RP_5_3,5,16265,7/25/2024,7/25/2024,5933895,712067,On-time,0
RP_5_4,5,16265,8/25/2024,8/25/2024,5933895,712067,On-time,0
RP_5_5,5,16265,9/25/2024,9/25/2024,5933895,712067,On-time,0
RP_5_6,5,16265,10/25/2024,10/25/2024,5933895,712067,On-time,0
RP_5_7,5,16265,11/25/2024,11/25/2024,5933895,712067,On-time,0
RP_5_8,5,16265,12/25/2024,12/25/2024,5933895,712067,On-time,0
RP_5_9,5,16265,1/25/2025,1/25/2025,5933895,712067,On-time,0
RP_5_10,5,16265,2/25/2025,2/25/2025,5933895,712067,On-time,0
RP_5_11,5,16265,3/25/2025,,5933895,712067,Due,
RP_5_12,5,16265,4/25/2025,,5933895,712067,Due,
RP_7_1,7,47194,12/25/2024,12/25/2024,17869924,2144391,On-time,0
RP_7_2,7,47194,1/25/2025,2/28/2025,17869924,2144391,Late,34
RP_7_3,7,47194,2/25/2025,,17869924,2144391,Missed,
RP_7_4,7,47194,3/25/2025,,17869924,2144391,Due,
RP_7_5,7,47194,4/25/2025,,17869924,2144391,Due,
RP_7_6,7,47194,5/25/2025,,17869924,2144391,Due,
RP_7_7,7,47194,6/25/2025,,17869924,2144391,Due,
RP_7_8,7,47194,7/25/2025,,17869924,2144391,Due,
RP_7_9,7,47194,8/25/2025,,17869924,2144391,Due,
RP_7_10,7,47194,9/25/2025,,17869924,2144391,Due,
RP_7_11,7,47194,10/25/2025,,17869924,2144391,Due,
RP_7_12,7,47194,11/25/2025,,17869924,2144391,Due,
RP_8_1,8,97498,9/25/2024,9/25/2024,4678834,561460,On-time,0
RP_8_2,8,97498,10/25/2024,10/25/2024,4678834,561460,On-time,0
RP_8_3,8,97498,11/25/2024,11/25/2024,4678834,561460,On-time,0
RP_8_4,8,97498,12/25/2024,12/25/2024,4678834,561460,On-time,0
RP_8_5,8,97498,1/25/2025,1/25/2025,4678834,561460,On-time,0
RP_8_6,8,97498,2/25/2025,2/25/2025,4678834,561460,On-time,0
RP_8_7,8,97498,3/25/2025,,4678834,561460,Due,
RP_8_8,8,97498,4/25/2025,,4678834,561460,Due,
RP_8_9,8,97498,5/25/2025,,4678834,561460,Due,
RP_8_10,8,97498,6/25/2025,,4678834,561460,Due,
RP_8_11,8,97498,7/25/2025,,4678834,561460,Due,
RP_8_12,8,97498,8/25/2025,,4678834,561460,Due,
RP_10_1,10,70263,4/25/2024,4/25/2024,21113988,2533679,On-time,0
RP_10_2,10,70263,5/25/2024,5/25/2024,21113988,2533679,On-time,0
RP_10_3,10,70263,6/25/2024,6/25/2024,21113988,2533679,On-time,0
RP_10_4,10,70263,7/25/2024,7/30/2024,21113988,2533679,Late,5
RP_10_5,10,70263,8/25/2024,8/25/2024,21113988,2533679,On-time,0
RP_10_6,10,70263,9/25/2024,9/25/2024,21113988,2533679,On-time,0
RP_10_7,10,70263,10/25/2024,10/25/2024,21113988,2533679,On-time,0
RP_10_8,10,70263,11/25/2024,11/25/2024,21113988,2533679,On-time,0
RP_10_9,10,70263,12/25/2024,12/25/2024,21113988,2533679,On-time,0
RP_10_10,10,70263,1/25/2025,1/25/2025,21113988,2533679,On-time,0
RP_10_11,10,70263,2/25/2025,2/25/2025,21113988,2533679,On-time,0
RP_10_12,10,70263,3/25/2025,,21113988,2533679,Due,
RP_15_1,15,10769,5/25/2024,5/25/2024,8436433,1012372,On-time,0
RP_15_2,15,10769,6/25/2024,6/25/2024,8436433,1012372,On-time,0
RP_15_3,15,10769,7/25/2024,7/25/2024,8436433,1012372,On-time,0
RP_15_4,15,10769,8/25/2024,8/25/2024,8436433,1012372,On-time,0
RP_15_5,15,10769,9/25/2024,9/25/2024,8436433,1012372,On-time,0
RP_15_6,15,10769,10/25/2024,10/25/2024,8436433,1012372,On-time,0
RP_15_7,15,10769,11/25/2024,,8436433,1012372,Missed,
RP_15_8,15,10769,12/25/2024,,8436433,1012372,Missed,
RP_15_9,15,10769,1/25/2025,,8436433,1012372,Missed,
RP_15_10,15,10769,2/25/2025,,8436433,1012372,Missed,
RP_15_11,15,10769,3/25/2025,,8436433,1012372,Due,
RP_15_12,15,10769,4/25/2025,,8436433,1012372,Due,
RP_22_1,22,63707,5/25/2024,5/25/2024,22143305,2657197,On-time,0
RP_22_2,22,63707,6/25/2024,6/25/2024,22143305,2657197,On-time,0
RP_22_3,22,63707,7/25/2024,7/25/2024,22143305,2657197,On-time,0
RP_22_4,22,63707,8/25/2024,8/25/2024,22143305,2657197,On-time,0
RP_22_5,22,63707,9/25/2024,9/25/2024,22143305,2657197,On-time,0
RP_22_6,22,63707,10/25/2024,10/25/2024,22143305,2657197,On-time,0
RP_22_7,22,63707,11/25/2024,11/25/2024,22143305,2657197,On-time,0
RP_22_8,22,63707,12/25/2024,12/25/2024,22143305,2657197,On-time,0
RP_22_9,22,63707,1/25/2025,1/25/2025,22143305,2657197,On-time,0
RP_22_10,22,63707,2/25/2025,2/25/2025,22143305,2657197,On-time,0
RP_22_11,22,63707,3/25/2025,,22143305,2657197,Due,
RP_22_12,22,63707,4/25/2025,,22143305,2657197,Due,
RP_24_1,24,38693,3/25/2024,3/25/2024,5277706,633325,On-time,0
RP_24_2,24,38693,4/25/2024,4/25/2024,5277706,633325,On-time,0
RP_24_3,24,38693,5/25/2024,5/25/2024,5277706,633325,On-time,0
RP_24_4,24,38693,6/25/2024,6/25/2024,5277706,633325,On-time,0
RP_24_5,24,38693,7/25/2024,7/25/2024,5277706,633325,On-time,0
RP_24_6,24,38693,8/25/2024,8/25/2024,5277706,633325,On-time,0
RP_24_7,24,38693,9/25/2024,9/25/2024,5277706,633325,On-time,0
RP_24_8,24,38693,10/25/2024,10/25/2024,5277706,633325,On-time,0
RP_24_9,24,38693,11/25/2024,11/25/2024,5277706,633325,On-time,0
RP_24_10,24,38693,12/25/2024,12/25/2024,5277706,633325,On-time,0
RP_24_11,24,38693,1/25/2025,1/25/2025,5277706,633325,On-time,0
RP_24_12,24,38693,2/25/2025,2/25/2025,5277706,633325,On-time,0
RP_30_1,30,69150,8/25/2024,8/25/2024,16677844,2001341,On-time,0
RP_30_2,30,69150,9/25/2024,9/25/2024,16677844,2001341,On-time,0
RP_30_3,30,69150,10/25/2024,10/25/2024,16677844,2001341,On-time,0
RP_30_4,30,69150,11/25/2024,11/25/2024,16677844,2001341,On-time,0
RP_30_5,30,69150,12/25/2024,12/25/2024,16677844,2001341,On-time,0
RP_30_6,30,69150,1/25/2025,1/25/2025,16677844,2001341,On-time,0
RP_30_7,30,69150,2/25/2025,2/25/2025,16677844,2001341,On-time,0
RP_30_8,30,69150,3/25/2025,,16677844,2001341,Due,
RP_30_9,30,69150,4/25/2025,,16677844,2001341,Due,
RP_30_10,30,69150,5/25/2025,,16677844,2001341,Due,
RP_30_11,30,69150,6/25/2025,,16677844,2001341,Due,
RP_30_12,30,69150,7/25/2025,,16677844,2001341,Due,
RP_32_1,32,94654,12/25/2024,12/25/2024,2957285,354874,On-time,0
RP_32_2,32,94654,1/25/2025,1/25/2025,2957285,354874,On-time,0
RP_32_3,32,94654,2/25/2025,2/25/2025,2957285,354874,On-time,0
RP_32_4,32,94654,3/25/2025,,2957285,354874,Due,
RP_32_5,32,94654,4/25/2025,,2957285,354874,Due,
RP_32_6,32,94654,5/25/2025,,2957285,354874,Due,
RP_32_7,32,94654,6/25/2025,,2957285,354874,Due,
RP_32_8,32,94654,7/25/2025,,2957285,354874,Due,
RP_32_9,32,94654,8/25/2025,,2957285,354874,Due,
RP_32_10,32,94654,9/25/2025,,2957285,354874,Due,
RP_32_11,32,94654,10/25/2025,,2957285,354874,Due,
RP_32_12,32,94654,11/25/2025,,2957285,354874,Due,
