BranchCode,Year,Month,TargetDisbursement
CT1,2024,1,49161544762.0
CT1,2024,2,73900136228.6
CT1,2024,3,58095349745.4
CT1,2024,4,60385676912.0
CT1,2024,5,72759997560.43
CT1,2024,6,66322400327.7
CT1,2024,7,78162226132.83
CT1,2024,8,64962782605.97
CT1,2024,9,69607129194.9
CT1,2024,10,56789156648.03
CT1,2024,11,63211034029.37
CT1,2024,12,60023580531.93
DN1,2024,1,55256398495.1
DN1,2024,2,80071137829.1
DN1,2024,3,77280254617.5
DN1,2024,4,70869263647.23
DN1,2024,5,70189302823.93
DN1,2024,6,61836470206.13
DN1,2024,7,56533434579.6
DN1,2024,8,58565025549.07
DN1,2024,9,61102919105.07
DN1,2024,10,58456067013.67
DN1,2024,11,66585437014.8
DN1,2024,12,70102015440.6
HCM1,2024,1,60735702618.8
HCM1,2024,2,65693780825.2
HCM1,2024,3,65934347978.4
HCM1,2024,4,64121277140.8
HCM1,2024,5,66311415819.37
HCM1,2024,6,71922554734.8
HCM1,2024,7,75410288391.17
HCM1,2024,8,76274147707.27
HCM1,2024,9,70842832800.3
HCM1,2024,10,69723761259.53
HCM1,2024,11,70562044914.9
HCM1,2024,12,79359403135.1
HCM2,2024,1,56036793563.3
HCM2,2024,2,73512118776.8
HCM2,2024,3,82230911992.9
HCM2,2024,4,70593274777.67
HCM2,2024,5,72133797159.23
HCM2,2024,6,76100325291.1
HCM2,2024,7,62045389430.93
HCM2,2024,8,64499505987.77
HCM2,2024,9,67140254753.37
HCM2,2024,10,74344157933.1
HCM2,2024,11,77221199853.97
HCM2,2024,12,64432482710.57
HN1,2024,1,78729533898.4
HN1,2024,2,68170922575.8
HN1,2024,3,59357998915.6
HN1,2024,4,68752818463.27
HN1,2024,5,64411484120.5
HN1,2024,6,67374451965.7
HN1,2024,7,66761509274.17
HN1,2024,8,70866833488.0
HN1,2024,9,66479777072.13
HN1,2024,10,69297494429.17
HN1,2024,11,65774984260.7
HN1,2024,12,62709620690.57
